company_name,website,representative,employees,founded,capital,type_url
アクセンチュア株式会社,http://www.accenture.com/,代表取締役社長 濱岡 大,"日本 約29,000人、グローバル784,000人",1995年12月（創業1989年）,,https://type.jp/job-company/1073/
株式会社NTTデータ,http://www.nttdata.co.jp/,代表取締役社長 鈴木正範,"197,800人（グループ全体／2025年3月31日現在）",1988年（昭和63年）5月23日,"142,520百万円（2025年3月31日現在）",https://type.jp/job-company/1219/
株式会社エヌ・エス・アール,http://www.nsr-net.co.jp/,代表取締役社長 村上俊一,63名(2023年1月時点),1978年8月,3000万円,https://type.jp/job-company/5119/
ＡＬＳＯＫ常駐警備株式会社【ALSOKグループ】,https://st-security.alsok.co.jp/,代表取締役社長／宮島 裕,"1,252名",2003年4月,,https://type.jp/job-company/5488/
HSBジャパン株式会社,https://www.munichre.com/hsb/en/services/engineering/global-inspection/international-languages/japanese.html,カントリーマネージャー 小杉 雄介,16名 (パート、請負社員含む）,1866年 ※日本法人設立は、2000年1月,7000万円,https://type.jp/job-company/5870/
株式会社ＯＮＥ,,代表取締役 山﨑 圭一郎,435名（2025年3月現在）,2004年4月,"3,000万円",https://type.jp/job-company/6759/
株式会社エクストリーム【東証グロース上場】,http://www.e-xtreme.co.jp,代表取締役社長 佐藤 昌平,単体503名 連結712名※2025年3月末現在,2005年5月,422百万円,https://type.jp/job-company/8591/
イオンディライトセキュリティ株式会社（イオングループ）,http://aeondelight-security.co.jp/,代表取締役社長 辻中昭彦,1968人（2026年2月期）,2004年3月,3000万円,https://type.jp/job-company/9524/
株式会社エムトラッド,https://mtrad.co.jp/,代表取締役 伊藤康弘,120名（2023年2月現在）,2002年11月,1000万円,https://type.jp/job-company/10103/
インターギアソリューション株式会社,http://www.ig-s.co.jp,代表取締役社長／上松 孝男,47名(東京営業部27名／大阪2名／仙台1名/営業補助部1名/採用制作部7名/東京新規営業部9名),2003年5月29日,1億円（2022年11月1日以降）,https://type.jp/job-company/10135/
株式会社オープンアップコンストラクション（東証プライム上場グループ）,https://recruit.openup-construction.co.jp/,代表取締役社長 髙比良 直人,"7,803名 ※2026年6月末時点",2019年6月24日（グループ設立：1976年9月27日）,110百万円,https://type.jp/job-company/10164/
株式会社インフィライズ,https://www.infiraiz.com/,代表取締役 杉本 幸雄,115名,2007年9月,3000万円,https://type.jp/job-company/11227/
株式会社ウェーブ,https://www.waveco.co.jp/,代表取締役／深井 賢一,57名（2025年4月現在）,1984年3月1日（昭和59年）,"3,000万円",https://type.jp/job-company/16038/
アビームコンサルティング株式会社,https://www.abeam.com/jp/ja/,代表取締役社長 山田貴博,"8,816名 （2025年4月1日現在 連結）",1981年4月1日,62億円,https://type.jp/job-company/16238/
株式会社オプティマ,http://www.opt.co.jp/,代表取締役／森田宏樹,374人,1972年8月21日,1億円,https://type.jp/job-company/16392/
株式会社大塚商会【東証プライム上場】,https://www.otsuka-shokai.co.jp/,代表取締役社長 大塚 裕司,"従業員数 7,949名（連結子会社を含めた従業員数 9,680名）＊2024年末日",1961年7月17日(1961年12月13日、株式会社として登記),"10,374,851,000円",https://type.jp/job-company/17096/
株式会社イーシー,http://www.ec-chance.jp/,代表取締役 村田 佳之,40名(技術37名、営業2名、総務・経理1名、内女性9名）※2025年7月現在,2012年12月,1000万円,https://type.jp/job-company/17598/
株式会社インターネットイニシアティブ（IIJ）【東証プライム市場上場】,http://www.iij.ad.jp/,代表取締役 鈴木 幸一、勝 栄二郎,"連結／4,803名：単体／2,680名（2024年3月末時点）",1992年12月3日,230億2300万円,https://type.jp/job-company/18093/
株式会社イーガオ,https://www.egao-inc.co.jp/,代表取締役 田中 寿法,63名（2026年4月現在）,2013年02月,300万円,https://type.jp/job-company/18356/
株式会社アイ・ハッツ,http://www.i-hats.co.jp/,代表取締役 泉 光治,22名,2000年5月29日,1000万円,https://type.jp/job-company/18384/
株式会社ASIAN STAR【東証スタンダード上場】,http://www.asian.co.jp/,代表取締役 渡邉 智彦,76名（連結）（2025年12月31日現在）,1979年,"1,705百万円",https://type.jp/job-company/18651/
株式会社アイリックコーポレーション（保険クリニック）【東証グロース上場】,https://www.irrc.co.jp/,代表取締役社長CEO 勝本 竜二,486名（643名 ※グループ全体）,1995年7月,"13億5,478万円",https://type.jp/job-company/19449/
株式会社アイ・ディ・エイチ,https://idh-net.co.jp,代表取締役社長 伊藤貞治,466名,2014年7月8日,"8,000万（資本準備金含む）",https://type.jp/job-company/20878/
伊藤忠テクノソリューションズ株式会社,http://www.ctc-g.co.jp/,代表取締役社長 新宮 達史,"単体 5,983名、CTCグループ 12,222名（2025年4月1日現在）",1979年7月11日（創業：1972年4月1日）,217億6400万円,https://type.jp/job-company/21148/
株式会社アクトエンジニアリング,http://www.acte.co.jp/,代表取締役社長 石井 春海,,1997年10月1日,"4,000万円",https://type.jp/job-company/21257/
株式会社エム・シー・アイ,https://www.medical-ci.co.jp/,代表取締役社長 千田 壮修,160名,2007年5月1日,"9,000万円",https://type.jp/job-company/21347/
株式会社NTTデータ【ポジションマッチ登録】,http://www.nttdata.com/jp/ja/index.html,代表取締役社長 鈴木正範,"197,800人（グループ全体／2025年3月31日現在）",1988年（昭和63年）5月23日,"142,520百万円（2025年3月31日現在）",https://type.jp/job-company/22110/
株式会社ヴィンクス【富士ソフトグループ】,http://www.vinx.co.jp/index.html,代表取締役 社長執行役員 渋谷 正樹,"1,666名（連結）／ 1,349名（単体） （2025年12月末）",1991年2月20日,"5億9,603万円",https://type.jp/job-company/23530/
オーマイグラス株式会社【Oh My Glasses】,https://www.ohmyglasses.co.jp/,代表取締役社長 清川 忠康,100名,2011年7月15日,6億7165万円,https://type.jp/job-company/24006/
株式会社アワードシステム,http://www.awardsystem.co.jp/,代表取締役 村岡 晃,20名,2002年6月27日,5900万円,https://type.jp/job-company/24074/
株式会社アーキ・ジャパン,http://akijapan.co.jp,代表取締役会長 北川太／取締役社長 児島公彦,"グループ従業員数：3,445名（2025年10月末時点）",2007年2月26日,"1,000万円",https://type.jp/job-company/24644/
ヴァーデン販売株式会社,http://www.vaden.tokyo/,代表取締役 荒木慎太郎,10名（2026年3月31日現在）,1958年8月1日,1000万円,https://type.jp/job-company/25325/
アヴェイルテクノロジ株式会社,http://www.avail-tech.co.jp/,代表取締役社長 谷口 守俊,29名(2025年3月末),平成20年7月,"6,200万円",https://type.jp/job-company/25768/
